TARA_4 TARA_7 TARA_9 TARA_11 TARA_18 TARA_20 TARA_22 TARA_23 TARA_25 TARA_26 TARA_30 TARA_142 TARA_143 TARA_144 TARA_145 TARA_146 TARA_147 TARA_148 TARA_149 TARA_150 TARA_151 TARA_152 TARA_66 TARA_67 TARA_68 TARA_70 TARA_72 TARA_76 TARA_78 TARA_80 TARA_81 TARA_82 TARA_83 TARA_84 TARA_85
TARA_4 NA 455.575669011796 526.695124520505 753.538521049124 593.016930398171 672.73533988507 737.614526253549 775.993413415136 743.497773869043 767.018641366235 981.993453092368 962.41632762355 928.146513931402 908.364769729256 2555.5783426188 1036.7022193896 1236.25898809672 1062.61665536211 879.373005892752 626.039989040397 523.417056704406 340.439528910014 2269.08820341057 2281.5342071727 2085.96801826736 1836.05652201887 1271.51141600052 1678.93174117943 1820.1936142022 1798.36724732855 2044.91648466158 2026.5483301928 3749.35993971621 2988.47931664469 3192.61942447168
TARA_7 455.575669011796 NA 94.075047787093 181.877922435684 147.42675973557 227.274237616676 300.460526432362 334.36103163722 298.27576757467 321.761383409193 533.380139163817 1432.95663656715 1360.06643647901 1345.13207313253 2940.96513997528 1470.89427162423 2920.00767699108 2489.4505707712 1268.12965677796 1012.36061716912 902.590529802065 758.539194711617 2701.1502246737 2711.62774506662 2972.48602317281 2791.7717568236 2428.33557745913 2520.12089305144 4518.50725554886 4515.93863031382 4656.18486804728 4398.7895685976 4483.00935580386 4544.84348172038 4621.80214981825
TARA_9 526.695124520505 94.075047787093 NA 158.616706975392 175.656687397584 255.152036008391 322.205702972118 357.461608034167 321.179295247445 344.375748227123 560.387003732248 1502.40547378162 1429.51527369348 1414.580910347 3010.41397718975 1540.34310883871 2989.45651420555 2558.89940798567 1337.57849399243 1081.80945438359 972.039367016535 827.988031926087 2770.59906188817 2781.07658228109 3041.93486038728 2861.22059403807 2497.7844146736 2589.56973026591 4587.95609276333 4585.38746752829 4725.63370526175 4468.23840581207 4552.46189301596 4614.29231893485 4691.25098703272
TARA_11 753.538521049124 181.877922435684 158.616706975392 NA 230.435391996947 309.15465147623 382.993457826378 419.468359452956 382.099946646301 401.868995179412 614.733693740954 1723.86807332822 1650.2395698894 1636.07065451506 3206.55361612531 1761.54549575204 3223.44301209058 2789.17271066991 1555.53838181459 1298.98825274549 1190.72841484624 1047.27974438181 2984.86139683365 2995.42086525252 3256.90329840999 3073.59883633949 2715.81620374973 2807.9650698319 4808.65439138286 4804.58999011232 4948.21834443881 4697.52255880164 4783.58743926691 4843.50814209573 4914.90551034985
TARA_18 593.016930398171 147.42675973557 175.656687397584 230.435391996947 NA 56.5634586685633 228.834432892265 246.050842665311 206.533014322962 220.658727686636 470.27723755748 1569.2679855803 1496.37778549217 1481.44342214568 3077.27648898843 1607.20562063739 3056.31902600424 2625.76191978436 1404.44100579112 1148.67196618228 1038.91175875872 894.860423668276 2837.46157368686 2847.93909407978 3108.79737218596 2928.08310583676 2564.64692647229 2656.4322420646 4654.81860456202 4652.24997932698 4792.49621706044 4535.10091761075 4619.30453185982 4681.15483073354 4758.11349883141
TARA_20 672.73533988507 227.274237616676 255.152036008391 309.15465147623 56.5634586685633 NA 193.706770839604 216.045150876578 178.19907186817 190.602190392365 560.161496798429 1649.07428695564 1576.18408686751 1561.24972352102 3157.08279036377 1687.01192201273 3136.12532737958 2705.5682211597 1484.24730716646 1228.47826755762 1118.71806013406 974.666725043615 2917.2678750622 2927.74539545511 3188.6036735613 3007.8894072121 2644.45322784763 2736.23854343994 4734.62490593736 4732.05628070232 4872.30251843578 4614.90721898609 4699.19532904046 4760.96113210888 4837.91980020674
TARA_22 737.614526253549 300.460526432362 322.205702972118 382.993457826378 228.834432892265 193.706770839604 NA 133.407997954687 35.9551680846407 53.8824403419694 395.219466320339 1721.97015243097 1649.07995234284 1634.14558899635 3229.9786558391 1759.90778748806 3209.02119285491 2778.46408663503 1557.14317264179 1301.37413303295 1191.61392560939 1047.56259051895 2990.16374053753 3000.64126093045 3261.49953903663 3080.78527268743 2717.34909332296 2809.13440891527 4807.52077141269 4804.95214617765 4945.19838391111 4687.80308446142 4771.87494797684 4833.85699758421 4910.81566568207
TARA_23 775.993413415136 334.36103163722 357.461608034167 419.468359452956 246.050842665311 216.045150876578 133.407997954687 NA 47.250908592588 64.2864419840811 499.244986470262 1755.87065763583 1682.9804575477 1668.04609420121 3263.87916104396 1793.80829269292 3242.92169805977 2812.36459183989 1591.04367784664 1335.2746382378 1225.51443081425 1081.4630957238 3024.06424574239 3034.5417661353 3295.40004424149 3114.68577789229 2751.24959852782 2843.03491412013 4841.42127661755 4838.85265138251 4979.09888911597 4721.70358966628 4806.10310846201 4867.75750278907 4944.71617088693
TARA_25 743.497773869043 298.27576757467 321.179295247445 382.099946646301 206.533014322962 178.19907186817 35.9551680846407 47.250908592588 NA 20.7873988256304 405.98699348227 1719.78539357328 1646.89519348515 1631.96083013866 3227.79389698141 1757.72302863037 3206.83643399721 2776.27932777734 1554.95841378409 1299.18937417525 1189.4291667517 1045.37783166125 2987.97898167984 2998.45650207275 3259.31478017894 3078.60051382974 2715.16433446527 2806.94965005758 4805.336012555 4802.76738731996 4943.01362505342 4685.61832560373 4769.96707669228 4831.67223872652 4908.63090682438
TARA_26 767.018641366235 321.761383409193 344.375748227123 401.868995179412 220.658727686636 190.602190392365 53.8824403419694 64.2864419840811 20.7873988256304 NA 301.445732963148 1744.07066814831 1671.62158540239 1656.55819485756 3210.19418465602 1781.04490450384 3258.86613553559 2799.16309701371 1581.48608904263 1321.74203607584 1207.61159853217 1067.50784660809 3009.2617801686 3018.83560930919 3275.85721382523 3097.32596104603 2741.4740371999 2821.2632013991 4845.0558795132 4843.96251308618 4978.27744395995 4723.49327432013 4808.10438529936 4870.00533409077 4931.81527332075
TARA_30 981.993453092368 533.380139163817 560.387003732248 614.733693740954 470.27723755748 560.161496798429 395.219466320339 499.244986470262 405.98699348227 301.445732963148 NA 1955.21100991824 1882.32080983011 1867.38644648362 3463.21951332637 1993.14864497533 3442.26205034217 3011.7049441223 1790.38403012905 1534.61499052021 1424.85478309666 1280.80344800621 3223.40459802479 3233.88211841771 3494.7403965239 3314.02613017469 2950.58995081022 3042.37526640253 5040.76162889996 5038.19300366491 5178.43924139837 4921.04394194869 5005.32304681926 5067.09785507147 5142.96076385203
TARA_142 962.41632762355 1432.95663656715 1502.40547378162 1723.86807332822 1569.2679855803 1649.07428695564 1721.97015243097 1755.87065763583 1719.78539357328 1744.07066814831 1955.21100991824 NA 90.9935066030041 99.1776946023329 126.886174097715 130.479698250332 532.87621544578 576.489387191188 636.9173408826 949.747158651298 1013.96237062479 650.472024677241 839.662830303435 846.464522178776 934.755091983288 669.182624907503 302.04072058422 561.224361194343 2559.55414070169 2556.98551546664 2697.23175320011 2439.83645375042 2524.19553550503 2585.8903668732 3049.00308127434
